mass_bin_center,result_WR1000_N100,result_WR1000_N200,result_WR1000_N300,result_WR1000_N400,result_WR1000_N500,result_WR1000_N600,result_WR1000_N700,result_WR1000_N800,result_WR1000_N900
1486.228287841191,1,0,0,0,0,0,0,0,0
1496.2365591397847,0,0,0,0,0,0,0,0,2
1506.2448304383788,1,0,0,0,0,0,0,1,0
1516.253101736973,0,0,0,0,0,0,0,0,2
1526.2613730355665,0,0,0,0,0,0,0,0,1
1536.2696443341606,0,0,0,0,0,1,0,1,0
1546.2779156327542,1,0,0,0,0,0,0,1,1
1556.2861869313483,0,1,0,0,0,0,0,0,0
1566.294458229942,2,0,0,1,0,0,0,0,1
1576.302729528536,0,0,0,0,0,0,0,0,0
1586.3110008271296,1,0,0,0,0,0,0,0,0
1596.3192721257237,0,0,0,0,0,0,0,0,0
1606.3275434243178,0,0,0,0,0,0,0,0,0
1616.3358147229114,0,0,0,0,0,0,0,1,0
1626.3440860215055,0,0,0,0,0,0,0,0,0
1636.3523573200991,1,0,0,0,0,0,0,1,2
1646.3606286186932,0,0,0,0,0,1,0,0,0
1656.3688999172869,0,0,0,1,0,0,0,0,0
1666.377171215881,0,0,0,1,0,0,0,0,0
1676.3854425144746,0,0,0,0,0,0,0,0,1
1686.3937138130686,0,0,0,0,0,0,0,0,0
1696.4019851116625,1,0,0,0,0,0,0,0,0
1706.4102564102564,0,0,0,0,0,0,0,0,0
1716.4185277088504,1,0,0,0,0,0,0,0,0
1726.426799007444,0,0,0,0,1,0,0,0,1
1736.4350703060381,0,0,0,0,0,0,0,0,0
1746.4433416046318,0,0,0,0,0,0,0,0,0
1756.4516129032259,0,0,0,0,0,0,0,0,0
1766.4598842018195,0,0,0,0,0,0,0,0,0
1776.4681555004136,1,0,0,0,0,0,0,0,0
1786.4764267990074,0,0,0,0,0,0,0,0,0
1796.4846980976013,0,0,0,0,0,0,0,0,0
1806.4929693961953,0,0,0,0,0,0,0,0,0
1816.501240694789,0,0,0,0,0,0,0,0,0
1826.509511993383,1,0,0,0,0,0,0,0,0
1836.5177832919767,0,0,0,0,0,0,0,0,1
1846.5260545905708,0,0,0,0,0,0,0,0,0
1856.5343258891644,0,0,0,0,0,1,0,0,0
1866.5425971877585,0,0,0,0,0,0,0,0,0
1876.5508684863523,0,0,0,0,0,0,0,1,0
1886.5591397849462,0,0,0,0,0,0,0,0,0
1896.5674110835403,0,0,0,0,0,0,0,0,0
1906.575682382134,0,0,0,0,0,0,0,0,0
1916.583953680728,0,0,0,0,0,0,0,0,1
1926.5922249793216,0,0,0,0,0,0,0,0,0
1936.6004962779157,0,0,0,0,0,0,0,0,0
1946.6087675765093,1,0,0,0,0,0,0,0,0
1956.6170388751034,0,0,0,0,0,0,0,0,0
1966.6253101736972,0,0,0,0,0,0,0,0,0
1976.633581472291,0,0,0,0,0,0,0,0,0
1986.6418527708852,0,0,0,0,0,0,0,0,0
1996.6501240694788,0,0,0,0,0,0,0,0,0
2006.658395368073,0,0,0,0,0,0,0,0,0
2016.6666666666665,0,0,0,0,0,0,0,0,0
