WR,N,on_shell_count,off_shell_count,offshell_below99_count
6000,2200,4442,558,216
6000,5700,4639,361,6
6000,5200,4612,388,5
6000,3900,4608,392,7
6000,5000,4641,359,7
6000,5100,4624,376,5
6000,4300,4624,376,5
6000,5300,4613,387,7
6000,4900,4641,359,7
6000,5400,4621,379,7
6000,4100,4628,372,5
6000,4200,4622,378,8
6000,4800,4628,372,5
6000,4400,4631,369,7
6000,5500,4623,377,5
6000,5600,4627,373,3
6000,5800,4633,367,1
6000,5900,4621,379,5
6500,100,1308,3692,3617
6500,200,1501,3499,3396
6500,300,1733,3267,3156
6500,500,2136,2864,2722
6500,400,1906,3094,2935
6500,1200,3406,1594,1341
6500,900,2897,2103,1898
6500,800,2707,2293,2105
6500,600,2300,2700,2531
6500,1100,3192,1808,1557
6500,1000,3025,1975,1726
6500,700,2437,2563,2381
6500,1300,3519,1481,1219
6500,1400,3643,1357,1081
6500,1500,3722,1278,988
6500,1700,4026,974,675
6500,1600,3843,1157,868
6500,2000,4234,766,441
6500,1800,4081,919,611
6500,2200,4350,650,320
6500,2300,4392,608,273
6500,2100,4290,710,374
6500,1900,4223,777,517
6500,2600,4564,436,142
6500,2400,4469,531,202
6500,2500,4513,487,166
6500,3200,4653,347,26
6500,2700,4542,458,110
6500,3100,4636,364,42
6500,4200,4674,326,8
6500,2800,4561,439,94
6500,3800,4661,339,4
6500,3000,4607,393,52
6500,3600,4649,351,4
6500,3500,4665,335,10
6500,2900,4619,381,59
6500,4300,4690,310,5
6500,4500,4660,340,2
6500,3700,4652,348,9
6500,4100,4650,350,4
6500,3400,4651,349,16
6500,3900,4659,341,3
6500,4400,4676,324,8
6500,3300,4652,348,21
6500,4800,4675,325,5
6500,4000,4639,361,4
6500,4700,4670,330,3
6500,4900,4654,346,3
6500,5000,4654,346,8
6500,5200,4670,330,5
6500,5100,4624,376,4
6500,4600,4696,304,4
6500,5900,4650,350,3
6500,5800,4677,323,4
6500,5400,4689,311,2
6500,6100,4645,355,2
6500,5700,4663,337,2
6500,6400,4684,316,3
6500,5500,4687,313,4
6500,6000,4653,347,1
6500,5300,4676,324,9
6500,5600,4638,362,5
6500,6300,4679,321,2
6500,6200,4668,332,2
2000,1600,3793,1207,17
2000,1100,3763,1237,15
2000,1200,3765,1235,15
2000,1300,3759,1241,16
2000,1500,3757,1243,14
2000,1400,3765,1235,17
2500,1900,3911,1089,6
5000,3300,4515,485,8
6000,2900,4621,379,39
1000,100,13747,6253,399
